time_sec,x,y,yaw
0.7,-1.9999584603726326,-0.5000001936056877,1.4094013277171877e-07
1.7,-1.9999755993035075,-0.5000011745667104,5.34567735928194e-07
2.7,-1.9999626138374331,-0.5000020812541275,1.0937477015679084e-06
3.7,-1.9999467087067104,-0.5000027754566599,1.7671818182188861e-06
4.6,-1.9999410676531093,-0.5000032845702578,2.4461937007969974e-06
6.0,-1.9999417789861313,-0.5000037566972061,2.833849075356556e-06
6.0,-1.9999417789861313,-0.5000037566972061,2.833849075356556e-06
6.0,-1.9999417789861313,-0.5000037566972061,2.833849075356556e-06
6.0,-1.9999417789861313,-0.5000037566972061,2.833849075356556e-06
6.1,-1.999940464227756,-0.5000037842166817,2.9139381284135016e-06
6.1,-1.999940464227756,-0.5000037842166817,2.9139381284135016e-06
6.3,-1.9999397996286972,-0.5000038276453179,2.995270745282365e-06
6.3,-1.9999397996286972,-0.5000038276453179,2.995270745282365e-06
6.5,-1.9999414041409178,-0.5000038914231506,2.9857548866815696e-06
6.5,-1.9999414041409178,-0.5000038914231506,2.9857548866815696e-06
6.6,-1.9999407245663436,-0.5000039146583234,3.044635201843334e-06
6.7,-1.999940465386362,-0.5000039214907818,3.06994560809688e-06
6.7,-1.999940465386362,-0.5000039214907818,3.06994560809688e-06
6.7,-1.999940465386362,-0.5000039214907818,3.06994560809688e-06
6.7,-1.999940465386362,-0.5000039214907818,3.06994560809688e-06
11.5,-1.9999395331177836,-0.5000044333047826,3.980567585679651e-06
16.5,-1.999938437196635,-0.5000045394000281,4.607676755881466e-06
21.4,-1.9999373125763757,-0.5000045691145923,5.20907834698016e-06
26.4,-1.9999362080441738,-0.5000045846282113,5.795939575626019e-06
31.4,-1.9999350913418164,-0.5000045976134647,6.406603357413941e-06
36.3,-1.999933943105803,-0.5000046101554115,6.997367271433548e-06
41.3,-1.999932847705038,-0.5000046227131139,7.600416843875084e-06
46.3,-1.9999317152080613,-0.5000046349928388,8.248355523177278e-06
51.2,-1.9999305809195134,-0.5000046477470352,8.80284808914892e-06
56.2,-1.9999294839906383,-0.5000046599731417,9.43979091306175e-06
61.1,-1.9999283348637522,-0.5000046722781353,1.0054782750645626e-05
66.1,-1.9999272288969328,-0.5000046856392926,1.0662439916846014e-05
71.0,-1.999926138018824,-0.5000046973793015,1.1246717907698067e-05
76.0,-1.9999250264608823,-0.5000047101678542,1.1839373100839694e-05
81.0,-1.999923895157558,-0.5000047220682007,1.2457412464446296e-05
85.9,-1.9999227956500212,-0.5000047344341846,1.303097072365206e-05
90.9,-1.999921636125755,-0.5000047470453324,1.3614301043846143e-05
95.8,-1.9999205289480042,-0.500004759656666,1.4264579550537763e-05
100.8,-1.999919406684331,-0.5000047724466876,1.4863965117551383e-05
105.8,-1.9999182543230118,-0.5000047841223428,1.544566958543541e-05
110.7,-1.9999172082932963,-0.5000047961827713,1.6017271030668773e-05
115.7,-1.9999160298346135,-0.5000048093693362,1.6650477076787206e-05
120.6,-1.9999149566696057,-0.5000048210600455,1.7225854341446196e-05
125.6,-1.999913843470799,-0.500004833181313,1.7884398880284075e-05
130.5,-1.9999127165072952,-0.5000048460211871,1.8429819868225823e-05
135.5,-1.9999115863728638,-0.5000048587292593,1.9062931559726068e-05
140.4,-1.9999104592980164,-0.5000048711189956,1.962245404742042e-05
145.4,-1.9999093390800387,-0.5000048835828429,2.024180016814149e-05
150.4,-1.9999082538178798,-0.5000048953012429,2.0827899529663188e-05
155.4,-1.9999070972741584,-0.5000049084744705,2.1469952012008543e-05
160.3,-1.999905981137495,-0.5000049205767451,2.2055392445210892e-05
165.3,-1.9999048702803122,-0.500004932372034,2.2647342629666696e-05
170.2,-1.999903784687067,-0.500004944882732,2.32442423844307e-05
175.2,-1.9999026828542872,-0.5000049572756234,2.3869370113637913e-05
180.1,-1.9999015751242362,-0.5000049690647926,2.447226263316721e-05
185.1,-1.9999004379183318,-0.5000049817746317,2.506008502709785e-05
190.1,-1.9998993129705336,-0.5000049951518439,2.5686807594920362e-05
195.0,-1.999898179552465,-0.5000050091325201,2.6292332679151095e-05
200.0,-1.9998970372823615,-0.5000050211470964,2.688380569575206e-05
204.9,-1.9998959378210417,-0.500005031088765,2.744054854133017e-05
209.9,-1.999894810629952,-0.50000504516344,2.8069983925820206e-05
214.9,-1.999893730154697,-0.5000050572873446,2.8702418533645675e-05
