time_sec,coverage,known_cells,total_cells
21.0,0.007724454492515329,451,58386
26.0,0.007724454492515329,451,58386
30.9,0.007724454492515329,451,58386
35.8,0.007724454492515329,451,58386
40.8,0.007724454492515329,451,58386
45.7,0.007724454492515329,451,58386
50.7,0.007724454492515329,451,58386
55.6,0.007724454492515329,451,58386
60.5,0.007724454492515329,451,58386
65.5,0.007724454492515329,451,58386
70.4,0.1387147603877642,8099,58386
75.4,0.1387147603877642,8099,58386
80.4,0.1387147603877642,8099,58386
85.4,0.1387147603877642,8099,58386
90.4,0.1387147603877642,8099,58386
95.3,0.1387147603877642,8099,58386
100.3,0.1387147603877642,8099,58386
105.3,0.1387147603877642,8099,58386
110.3,0.1387147603877642,8099,58386
115.3,0.1387147603877642,8099,58386
120.3,0.21762066248758263,12706,58386
125.3,0.21762066248758263,12706,58386
130.3,0.21762066248758263,12706,58386
135.3,0.21762066248758263,12706,58386
140.3,0.21762066248758263,12706,58386
145.3,0.21762066248758263,12706,58386
150.2,0.21762066248758263,12706,58386
155.2,0.21762066248758263,12706,58386
160.2,0.21762066248758263,12706,58386
165.2,0.21762066248758263,12706,58386
170.2,0.3322714349330319,19400,58386
175.2,0.3322714349330319,19400,58386
180.2,0.3322714349330319,19400,58386
185.2,0.3322714349330319,19400,58386
190.1,0.3322714349330319,19400,58386
195.1,0.3322714349330319,19400,58386
200.1,0.3322714349330319,19400,58386
205.1,0.3322714349330319,19400,58386
210.1,0.3322714349330319,19400,58386
215.1,0.3322714349330319,19400,58386
220.1,0.3700544651114993,21606,58386
225.1,0.3700544651114993,21606,58386
230.1,0.3700544651114993,21606,58386
235.0,0.3700544651114993,21606,58386
240.0,0.3700544651114993,21606,58386
245.0,0.3700544651114993,21606,58386
250.0,0.3700544651114993,21606,58386
255.0,0.3700544651114993,21606,58386
260.0,0.3700544651114993,21606,58386
265.0,0.3700544651114993,21606,58386
269.9,0.5007707327098962,29238,58386
274.9,0.5007707327098962,29238,58386
279.9,0.5007707327098962,29238,58386
284.9,0.5007707327098962,29238,58386
289.9,0.5007707327098962,29238,58386
294.9,0.5007707327098962,29238,58386
299.9,0.5007707327098962,29238,58386
304.9,0.5007707327098962,29238,58386
309.9,0.5007707327098962,29238,58386
314.9,0.5007707327098962,29238,58386
319.9,0.577981022847943,33746,58386
324.8,0.577981022847943,33746,58386
329.8,0.577981022847943,33746,58386
334.8,0.577981022847943,33746,58386
339.8,0.577981022847943,33746,58386
344.8,0.577981022847943,33746,58386
349.8,0.577981022847943,33746,58386
354.8,0.577981022847943,33746,58386
359.8,0.577981022847943,33746,58386
364.7,0.577981022847943,33746,58386
369.7,0.6351693899222416,37085,58386
374.7,0.6351693899222416,37085,58386
379.7,0.6351693899222416,37085,58386
384.7,0.6351693899222416,37085,58386
389.7,0.6351693899222416,37085,58386
394.7,0.6351693899222416,37085,58386
399.7,0.6351693899222416,37085,58386
404.7,0.6351693899222416,37085,58386
409.7,0.6351693899222416,37085,58386
414.6,0.6351693899222416,37085,58386
419.6,0.6783304216764293,39605,58386
424.6,0.6783304216764293,39605,58386
429.6,0.6783304216764293,39605,58386
434.6,0.6783304216764293,39605,58386
439.6,0.6783304216764293,39605,58386
444.6,0.6783304216764293,39605,58386
449.6,0.6783304216764293,39605,58386
454.6,0.6783304216764293,39605,58386
459.6,0.6783304216764293,39605,58386
464.6,0.6783304216764293,39605,58386
469.5,0.6811221868256089,39768,58386
474.5,0.6811221868256089,39768,58386
479.5,0.6811221868256089,39768,58386
484.5,0.6811221868256089,39768,58386
489.5,0.6811221868256089,39768,58386
494.5,0.6811221868256089,39768,58386
499.5,0.6811221868256089,39768,58386
504.5,0.6811221868256089,39768,58386
509.5,0.6811221868256089,39768,58386
514.5,0.6811221868256089,39768,58386
519.5,0.7601137258931936,44380,58386
524.5,0.7601137258931936,44380,58386
529.5,0.7601137258931936,44380,58386
534.5,0.7601137258931936,44380,58386
539.5,0.7601137258931936,44380,58386
544.4,0.7601137258931936,44380,58386
549.4,0.7601137258931936,44380,58386
554.4,0.7601137258931936,44380,58386
559.4,0.7601137258931936,44380,58386
564.4,0.7601137258931936,44380,58386
569.4,0.7709896207995067,45015,58386
574.4,0.7709896207995067,45015,58386
579.4,0.7709896207995067,45015,58386
584.4,0.7709896207995067,45015,58386
589.4,0.7709896207995067,45015,58386
594.3,0.7709896207995067,45015,58386
599.3,0.7709896207995067,45015,58386
604.3,0.7709896207995067,45015,58386
609.3,0.7709896207995067,45015,58386
614.3,0.7709896207995067,45015,58386
619.3,0.7768814441818244,45359,58386
624.3,0.7768814441818244,45359,58386
629.2,0.7768814441818244,45359,58386
634.2,0.7768814441818244,45359,58386
639.2,0.7768814441818244,45359,58386
644.2,0.7768814441818244,45359,58386
649.2,0.7768814441818244,45359,58386
654.2,0.7768814441818244,45359,58386
659.2,0.7768814441818244,45359,58386
664.2,0.7768814441818244,45359,58386
669.2,0.791919295721577,46237,58386
674.1,0.791919295721577,46237,58386
679.1,0.791919295721577,46237,58386
684.1,0.791919295721577,46237,58386
689.1,0.791919295721577,46237,58386
694.1,0.791919295721577,46237,58386
699.1,0.791919295721577,46237,58386
704.1,0.791919295721577,46237,58386
709.1,0.791919295721577,46237,58386
714.0,0.791919295721577,46237,58386
719.0,0.7933066145993902,46318,58386
724.0,0.7933066145993902,46318,58386
729.0,0.7933066145993902,46318,58386
734.0,0.7933066145993902,46318,58386
739.0,0.7933066145993902,46318,58386
744.0,0.7933066145993902,46318,58386
749.0,0.7933066145993902,46318,58386
754.0,0.7933066145993902,46318,58386
759.0,0.7933066145993902,46318,58386
764.0,0.7933066145993902,46318,58386
768.9,0.8051245161511321,47008,58386
773.9,0.8051245161511321,47008,58386
778.9,0.8051245161511321,47008,58386
783.9,0.8051245161511321,47008,58386
788.9,0.8051245161511321,47008,58386
793.9,0.8051245161511321,47008,58386
798.9,0.8051245161511321,47008,58386
803.9,0.8051245161511321,47008,58386
808.9,0.8051245161511321,47008,58386
813.9,0.8051245161511321,47008,58386
818.9,0.8022984962148461,46843,58386
823.9,0.8022984962148461,46843,58386
828.9,0.8022984962148461,46843,58386
833.8,0.8022984962148461,46843,58386
838.8,0.8022984962148461,46843,58386
843.8,0.8022984962148461,46843,58386
848.8,0.8022984962148461,46843,58386
853.8,0.8022984962148461,46843,58386
858.8,0.8022984962148461,46843,58386
